OrderID,OrderDate,Product,Category,Region,Quantity,UnitPrice,TotalSales,Month
100043,2024-03-31,Mobile,Electronics,West,6,20000,120000,45352
100044,2025-12-15,Printer,Electronics,West,1,18000,18000,45992
100045,2024-06-09,Laptop,Electronics,North,6,55000,330000,45444
100046,2024-02-15,Mobile,Electronics,North,3,20000,60000,45323
100047,2025-04-08,Sofa,Furniture,West,7,40000,280000,45748
100048,2024-06-15,Laptop,Electronics,West,5,55000,275000,45444
100049,2025-07-28,Mobile,Electronics,North,3,20000,60000,45839
100050,2025-05-06,Sofa,Furniture,South,3,40000,120000,45778
100051,2023-07-03,Laptop,Electronics,East,3,55000,165000,45108
100052,2025-02-08,Laptop,Electronics,South,6,55000,330000,45689
100053,2024-09-01,Monitor,Electronics,North,6,22000,132000,45536
100054,2023-06-21,Headphones,Electronics,East,6,1500,9000,45078
100055,2025-06-01,Monitor,Electronics,South,6,22000,132000,45809
100056,2025-04-03,Sofa,Furniture,East,1,40000,40000,45748
100057,2023-07-23,Sofa,Furniture,South,4,40000,160000,45108
100058,2023-09-14,Sofa,Furniture,West,5,40000,200000,45170
100059,2023-07-03,Office Chair,Furniture,East,7,8000,56000,45108
100060,2024-02-03,Monitor,Electronics,South,6,22000,132000,45323
100061,2025-10-10,Tablet,Electronics,East,1,30000,30000,45931
100062,2024-11-03,Mobile,Electronics,East,8,20000,160000,45597
100063,2023-10-10,Printer,Electronics,North,8,18000,144000,45200
100064,2025-01-29,Bed,Furniture,West,3,35000,105000,45658
100065,2023-10-25,Tablet,Electronics,North,5,30000,150000,45200
100066,2025-10-26,Laptop,Electronics,South,4,55000,220000,45931
100067,2023-04-26,Headphones,Electronics,West,1,1500,1500,45017
100068,2024-08-10,Table,Furniture,North,8,12000,96000,45505
100069,2023-03-20,Laptop,Electronics,West,4,55000,220000,44986
100070,2024-11-06,Monitor,Electronics,South,1,22000,22000,45597
100071,2023-03-23,Monitor,Electronics,East,6,22000,132000,44986
100072,2025-10-19,Headphones,Electronics,West,1,1500,1500,45931
100073,2023-06-11,Mobile,Electronics,North,5,20000,100000,45078
100074,2025-03-01,Bed,Furniture,South,1,35000,35000,45717
100075,2024-12-05,Printer,Electronics,West,2,18000,36000,45627
100076,2023-01-17,Headphones,Electronics,South,6,1500,9000,44927
100077,2024-02-14,Office Chair,Furniture,East,2,8000,16000,45323
100078,2023-09-19,Tablet,Electronics,South,5,30000,150000,45170
100079,2023-10-21,Bed,Furniture,East,7,35000,245000,45200
100080,2023-10-04,Table,Furniture,East,5,12000,60000,45200
100081,2023-10-16,Mobile,Electronics,West,2,20000,40000,45200
100082,2025-09-26,Monitor,Electronics,East,2,22000,44000,45901
100083,2025-10-03,Monitor,Electronics,South,3,22000,66000,45931
100084,2023-10-20,Monitor,Electronics,West,4,22000,88000,45200
100085,2024-10-04,Printer,Electronics,South,3,18000,54000,45566
100086,2025-10-06,Printer,Electronics,West,5,18000,90000,45931
100087,2024-04-25,Mobile,Electronics,South,4,20000,80000,45383
100088,2025-10-21,Tablet,Electronics,South,1,30000,30000,45931
100089,2024-01-31,Headphones,Electronics,East,5,1500,7500,45292
100090,2024-09-29,Printer,Electronics,South,2,18000,36000,45536
100091,2024-02-09,Table,Furniture,South,2,12000,24000,45323
100092,2024-09-19,Table,Furniture,South,8,12000,96000,45536
100093,2023-05-20,Printer,Electronics,North,6,18000,108000,45047
100094,2025-12-25,Headphones,Electronics,South,6,1500,9000,45992
100095,2024-11-25,Mobile,Electronics,West,7,20000,140000,45597
100096,2023-10-28,Sofa,Furniture,South,4,40000,160000,45200
100097,2024-04-20,Office Chair,Furniture,North,5,8000,40000,45383
100098,2024-07-17,Table,Furniture,East,2,12000,24000,45474
100099,2024-04-08,Printer,Electronics,South,2,18000,36000,45383
100100,2023-12-09,Sofa,Furniture,North,8,40000,320000,45261
100101,2023-12-29,Mobile,Electronics,West,8,20000,160000,45261
100102,2025-09-02,Tablet,Electronics,North,7,30000,210000,45901
100103,2024-07-26,Headphones,Electronics,West,4,1500,6000,45474
100104,2025-06-08,Bed,Furniture,South,6,35000,210000,45809
100105,2025-04-06,Mobile,Electronics,West,6,20000,120000,45748
100106,2025-08-30,Printer,Electronics,East,6,18000,108000,45870
100107,2025-09-26,Tablet,Electronics,North,5,30000,150000,45901
100108,2025-02-26,Printer,Electronics,East,7,18000,126000,45689
100109,2025-05-30,Laptop,Electronics,East,7,55000,385000,45778
100110,2024-12-29,Monitor,Electronics,South,7,22000,154000,45627
100111,2024-02-24,Table,Furniture,North,3,12000,36000,45323
100112,2025-12-07,Office Chair,Furniture,West,1,8000,8000,45992
100113,2025-12-25,Monitor,Electronics,South,3,22000,66000,45992
100114,2024-08-03,Printer,Electronics,South,3,18000,54000,45505
100115,2024-02-24,Printer,Electronics,West,8,18000,144000,45323
100116,2024-04-01,Sofa,Furniture,West,2,40000,80000,45383
100117,2024-05-12,Table,Furniture,South,3,12000,36000,45413
100118,2024-04-30,Sofa,Furniture,East,3,40000,120000,45383
100119,2024-01-13,Sofa,Furniture,West,3,40000,120000,45292
100120,2024-01-28,Bed,Furniture,West,5,35000,175000,45292
100121,2024-03-31,Tablet,Electronics,North,7,30000,210000,45352
100122,2025-08-04,Monitor,Electronics,North,8,22000,176000,45870
100123,2025-10-21,Printer,Electronics,West,2,18000,36000,45931
100124,2023-05-14,Table,Furniture,South,7,12000,84000,45047
100125,2025-04-23,Sofa,Furniture,South,8,40000,320000,45748
100126,2024-05-23,Mobile,Electronics,South,2,20000,40000,45413
100127,2025-09-23,Printer,Electronics,West,8,18000,144000,45901
100128,2025-12-13,Mobile,Electronics,South,7,20000,140000,45992
100129,2024-05-11,Tablet,Electronics,South,4,30000,120000,45413
100130,2024-05-30,Mobile,Electronics,East,2,20000,40000,45413
100131,2025-10-04,Headphones,Electronics,North,5,1500,7500,45931
100132,2024-05-08,Mobile,Electronics,South,2,20000,40000,45413
100133,2025-02-07,Monitor,Electronics,North,1,22000,22000,45689
100134,2024-04-10,Table,Furniture,South,1,12000,12000,45383
100135,2025-09-18,Printer,Electronics,East,3,18000,54000,45901
100136,2025-12-21,Sofa,Furniture,North,3,40000,120000,45992
100137,2025-01-19,Office Chair,Furniture,East,6,8000,48000,45658
100138,2024-09-02,Laptop,Electronics,North,5,55000,275000,45536
100139,2025-04-04,Sofa,Furniture,East,6,40000,240000,45748
100140,2023-06-09,Tablet,Electronics,West,5,30000,150000,45078
100141,2023-12-11,Headphones,Electronics,North,6,1500,9000,45261
100142,2023-07-11,Bed,Furniture,East,4,35000,140000,45108
100143,2023-10-31,Office Chair,Furniture,North,6,8000,48000,45200
100144,2025-03-22,Mobile,Electronics,East,8,20000,160000,45717
100145,2023-05-30,Table,Furniture,East,7,12000,84000,45047
100146,2025-11-12,Office Chair,Furniture,West,8,8000,64000,45962
100147,2024-12-23,Mobile,Electronics,East,2,20000,40000,45627
100148,2025-10-06,Headphones,Electronics,South,8,1500,12000,45931
100149,2023-04-10,Office Chair,Furniture,East,5,8000,40000,45017
100150,2025-07-29,Laptop,Electronics,East,5,55000,275000,45839
100151,2025-12-09,Bed,Furniture,South,1,35000,35000,45992
100152,2023-12-04,Monitor,Electronics,West,3,22000,66000,45261
100153,2024-11-01,Table,Furniture,North,4,12000,48000,45597
100154,2024-07-04,Monitor,Electronics,North,1,22000,22000,45474
100155,2024-05-29,Table,Furniture,North,8,12000,96000,45413
100156,2023-10-19,Bed,Furniture,East,7,35000,245000,45200
100157,2025-07-20,Printer,Electronics,North,3,18000,54000,45839
100158,2023-11-13,Sofa,Furniture,South,1,40000,40000,45231
100159,2023-11-29,Monitor,Electronics,North,2,22000,44000,45231
100160,2023-03-14,Office Chair,Furniture,West,1,8000,8000,44986
100161,2025-02-11,Mobile,Electronics,East,3,20000,60000,45689
100162,2025-08-23,Office Chair,Furniture,East,7,8000,56000,45870
100163,2025-12-14,Monitor,Electronics,South,1,22000,22000,45992
100164,2023-06-06,Table,Furniture,West,8,12000,96000,45078
100165,2023-10-16,Printer,Electronics,North,6,18000,108000,45200
100166,2025-12-20,Bed,Furniture,West,2,35000,70000,45992
100167,2023-11-27,Printer,Electronics,West,1,18000,18000,45231
100168,2023-12-13,Mobile,Electronics,North,3,20000,60000,45261
100169,2023-08-18,Monitor,Electronics,East,8,22000,176000,45139
100170,2025-04-30,Table,Furniture,West,5,12000,60000,45748
100171,2023-01-07,Monitor,Electronics,South,4,22000,88000,44927
100172,2025-10-18,Tablet,Electronics,South,7,30000,210000,45931
100173,2023-11-01,Table,Furniture,South,2,12000,24000,45231
100174,2025-04-11,Mobile,Electronics,North,7,20000,140000,45748
100175,2025-08-25,Laptop,Electronics,East,8,55000,440000,45870
100176,2023-02-28,Bed,Furniture,East,3,35000,105000,44958
100177,2024-06-07,Printer,Electronics,East,3,18000,54000,45444
100178,2023-04-20,Tablet,Electronics,South,3,30000,90000,45017
100179,2025-07-18,Printer,Electronics,West,5,18000,90000,45839
100180,2023-08-22,Printer,Electronics,North,6,18000,108000,45139
100181,2025-12-26,Laptop,Electronics,North,4,55000,220000,45992
100182,2025-07-01,Sofa,Furniture,South,7,40000,280000,45839
100183,2023-09-19,Monitor,Electronics,West,1,22000,22000,45170
100184,2025-10-20,Monitor,Electronics,South,8,22000,176000,45931
100185,2025-02-12,Headphones,Electronics,West,2,1500,3000,45689
100186,2023-11-28,Bed,Furniture,West,7,35000,245000,45231
100187,2023-10-13,Monitor,Electronics,South,7,22000,154000,45200
100188,2024-10-14,Tablet,Electronics,West,7,30000,210000,45566
100189,2024-09-13,Tablet,Electronics,South,3,30000,90000,45536
100190,2025-06-03,Laptop,Electronics,West,4,55000,220000,45809
100191,2025-05-01,Tablet,Electronics,South,4,30000,120000,45778
100192,2023-03-09,Tablet,Electronics,North,7,30000,210000,44986
100193,2024-02-14,Printer,Electronics,South,2,18000,36000,45323
100194,2023-10-15,Table,Furniture,West,3,12000,36000,45200
100195,2025-01-19,Table,Furniture,North,4,12000,48000,45658
100196,2023-11-13,Mobile,Electronics,North,8,20000,160000,45231
100197,2025-02-08,Tablet,Electronics,East,8,30000,240000,45689
100198,2025-03-14,Sofa,Furniture,West,8,40000,320000,45717
100199,2024-01-04,Mobile,Electronics,South,4,20000,80000,45292
100200,2025-09-28,Office Chair,Furniture,North,8,8000,64000,45901
100201,2023-12-01,Tablet,Electronics,East,6,30000,180000,45261
100202,2023-02-05,Sofa,Furniture,East,2,40000,80000,44958
100203,2023-08-08,Laptop,Electronics,West,7,55000,385000,45139
100204,2025-09-11,Table,Furniture,West,2,12000,24000,45901
100205,2023-02-03,Printer,Electronics,South,8,18000,144000,44958
100206,2024-05-04,Sofa,Furniture,North,3,40000,120000,45413
100207,2025-05-16,Monitor,Electronics,South,4,22000,88000,45778
100208,2024-02-17,Sofa,Furniture,West,3,40000,120000,45323
100209,2024-05-26,Tablet,Electronics,East,6,30000,180000,45413
100210,2025-04-17,Sofa,Furniture,South,6,40000,240000,45748
100211,2025-06-15,Bed,Furniture,West,3,35000,105000,45809
100212,2025-07-24,Laptop,Electronics,West,1,55000,55000,45839
100213,2024-07-17,Sofa,Furniture,West,6,40000,240000,45474
100214,2023-11-01,Headphones,Electronics,West,4,1500,6000,45231
100215,2023-08-30,Printer,Electronics,West,4,18000,72000,45139
100216,2023-03-13,Monitor,Electronics,West,7,22000,154000,44986
100217,2023-02-20,Monitor,Electronics,North,8,22000,176000,44958
100218,2023-11-07,Laptop,Electronics,East,1,55000,55000,45231
100219,2025-01-07,Printer,Electronics,East,3,18000,54000,45658
100220,2023-07-17,Tablet,Electronics,East,3,30000,90000,45108
100221,2025-03-29,Tablet,Electronics,North,5,30000,150000,45717
100222,2023-06-07,Monitor,Electronics,West,4,22000,88000,45078
100223,2025-12-28,Monitor,Electronics,West,6,22000,132000,45992
100224,2025-09-17,Table,Furniture,South,7,12000,84000,45901
100225,2024-02-10,Monitor,Electronics,North,6,22000,132000,45323
100226,2023-04-15,Mobile,Electronics,North,2,20000,40000,45017
100227,2024-10-22,Tablet,Electronics,East,1,30000,30000,45566
100228,2023-10-13,Headphones,Electronics,South,6,1500,9000,45200
100229,2024-03-09,Printer,Electronics,East,4,18000,72000,45352
100230,2025-01-01,Headphones,Electronics,West,7,1500,10500,45658
100231,2023-02-12,Monitor,Electronics,West,8,22000,176000,44958
100232,2023-11-21,Tablet,Electronics,West,4,30000,120000,45231
100233,2024-05-14,Printer,Electronics,South,7,18000,126000,45413
100234,2023-01-17,Mobile,Electronics,North,3,20000,60000,44927
100235,2025-05-01,Tablet,Electronics,South,8,30000,240000,45778
100236,2024-05-29,Table,Furniture,South,7,12000,84000,45413
100237,2023-02-23,Headphones,Electronics,North,6,1500,9000,44958
100238,2025-11-01,Laptop,Electronics,South,7,55000,385000,45962
100239,2025-12-28,Bed,Furniture,South,1,35000,35000,45992
100240,2023-03-22,Monitor,Electronics,West,7,22000,154000,44986
100241,2024-07-05,Headphones,Electronics,East,2,1500,3000,45474
100242,2024-12-13,Bed,Furniture,South,2,35000,70000,45627
100243,2024-03-07,Mobile,Electronics,East,6,20000,120000,45352
100244,2024-09-03,Sofa,Furniture,North,2,40000,80000,45536
100245,2024-06-20,Tablet,Electronics,West,4,30000,120000,45444
100246,2025-01-16,Mobile,Electronics,West,4,20000,80000,45658
100247,2024-07-17,Monitor,Electronics,East,6,22000,132000,45474
100248,2025-04-13,Sofa,Furniture,South,3,40000,120000,45748
100249,2025-04-24,Mobile,Electronics,West,5,20000,100000,45748
100250,2024-10-14,Laptop,Electronics,East,6,55000,330000,45566
100251,2024-06-24,Tablet,Electronics,South,5,30000,150000,45444
100252,2023-10-29,Mobile,Electronics,East,8,20000,160000,45200
100253,2024-02-07,Sofa,Furniture,North,3,40000,120000,45323
100254,2023-06-24,Headphones,Electronics,North,1,1500,1500,45078
100255,2024-10-11,Mobile,Electronics,South,4,20000,80000,45566
100256,2024-12-08,Bed,Furniture,East,1,35000,35000,45627
100257,2025-07-14,Bed,Furniture,North,4,35000,140000,45839
100258,2023-11-26,Tablet,Electronics,North,3,30000,90000,45231
100259,2025-11-02,Printer,Electronics,North,6,18000,108000,45962
100260,2024-08-01,Mobile,Electronics,East,2,20000,40000,45505
100261,2025-04-28,Printer,Electronics,East,5,18000,90000,45748
100262,2024-02-23,Table,Furniture,West,2,12000,24000,45323
100263,2023-02-04,Bed,Furniture,South,2,35000,70000,44958
100264,2024-02-12,Headphones,Electronics,West,5,1500,7500,45323
100265,2023-10-20,Sofa,Furniture,South,3,40000,120000,45200
100266,2025-10-03,Bed,Furniture,East,4,35000,140000,45931
100267,2023-01-23,Monitor,Electronics,West,4,22000,88000,44927
100268,2023-12-11,Sofa,Furniture,West,8,40000,320000,45261
100269,2024-08-18,Mobile,Electronics,West,5,20000,100000,45505
100270,2024-03-21,Monitor,Electronics,South,2,22000,44000,45352
100271,2024-07-07,Headphones,Electronics,West,4,1500,6000,45474
100272,2025-05-08,Printer,Electronics,East,1,18000,18000,45778
100273,2024-02-09,Monitor,Electronics,North,2,22000,44000,45323
100274,2025-11-22,Tablet,Electronics,West,6,30000,180000,45962
100275,2024-04-05,Sofa,Furniture,North,7,40000,280000,45383
100276,2024-09-10,Laptop,Electronics,North,2,55000,110000,45536
100277,2023-11-02,Tablet,Electronics,North,8,30000,240000,45231
100278,2025-08-18,Sofa,Furniture,South,1,40000,40000,45870
100279,2023-12-14,Printer,Electronics,West,7,18000,126000,45261
100280,2024-01-26,Printer,Electronics,East,3,18000,54000,45292
100281,2024-05-23,Laptop,Electronics,North,2,55000,110000,45413
100282,2025-11-04,Bed,Furniture,West,7,35000,245000,45962
100283,2023-09-20,Laptop,Electronics,North,7,55000,385000,45170
100284,2024-06-02,Table,Furniture,East,4,12000,48000,45444
100285,2024-10-04,Headphones,Electronics,North,7,1500,10500,45566
100286,2025-01-16,Headphones,Electronics,South,5,1500,7500,45658
100287,2025-05-04,Sofa,Furniture,South,1,40000,40000,45778
100288,2023-09-25,Monitor,Electronics,East,8,22000,176000,45170
100289,2025-09-09,Tablet,Electronics,East,5,30000,150000,45901
100290,2025-04-06,Office Chair,Furniture,North,6,8000,48000,45748
100291,2025-09-08,Printer,Electronics,South,7,18000,126000,45901
100292,2024-02-12,Table,Furniture,West,8,12000,96000,45323
100293,2023-02-08,Tablet,Electronics,East,1,30000,30000,44958
100294,2023-08-18,Headphones,Electronics,South,8,1500,12000,45139
100295,2024-07-04,Bed,Furniture,East,1,35000,35000,45474
100296,2025-08-24,Headphones,Electronics,South,3,1500,4500,45870
100297,2025-03-12,Tablet,Electronics,East,6,30000,180000,45717
100298,2023-09-07,Tablet,Electronics,South,1,30000,30000,45170
100299,2023-04-09,Laptop,Electronics,North,8,55000,440000,45017
100300,2025-05-03,Printer,Electronics,West,8,18000,144000,45778
100301,2024-03-21,Headphones,Electronics,West,2,1500,3000,45352
100302,2025-10-27,Bed,Furniture,North,5,35000,175000,45931
100303,2025-04-04,Mobile,Electronics,West,4,20000,80000,45748
100304,2023-11-14,Mobile,Electronics,South,4,20000,80000,45231
100305,2025-03-21,Office Chair,Furniture,East,6,8000,48000,45717
100306,2023-07-05,Mobile,Electronics,North,8,20000,160000,45108
100307,2025-04-09,Sofa,Furniture,East,8,40000,320000,45748
100308,2025-05-29,Office Chair,Furniture,North,5,8000,40000,45778
100309,2024-07-09,Laptop,Electronics,West,2,55000,110000,45474
100310,2025-03-11,Printer,Electronics,South,1,18000,18000,45717
100311,2025-10-24,Mobile,Electronics,West,7,20000,140000,45931
100312,2025-03-27,Printer,Electronics,South,3,18000,54000,45717
100313,2023-11-27,Bed,Furniture,North,3,35000,105000,45231
100314,2024-07-28,Bed,Furniture,North,1,35000,35000,45474
100315,2024-10-21,Printer,Electronics,North,3,18000,54000,45566
100316,2024-06-01,Table,Furniture,West,3,12000,36000,45444
100317,2025-12-22,Bed,Furniture,West,4,35000,140000,45992
100318,2024-11-13,Printer,Electronics,East,8,18000,144000,45597
100319,2023-10-24,Office Chair,Furniture,West,1,8000,8000,45200
100320,2025-06-27,Monitor,Electronics,South,1,22000,22000,45809
100321,2023-10-29,Tablet,Electronics,East,3,30000,90000,45200
100322,2024-04-28,Tablet,Electronics,East,6,30000,180000,45383
100323,2023-08-31,Bed,Furniture,North,7,35000,245000,45139
100324,2025-05-23,Sofa,Furniture,West,8,40000,320000,45778
100325,2023-04-11,Monitor,Electronics,South,5,22000,110000,45017
100326,2024-04-11,Tablet,Electronics,West,2,30000,60000,45383
100327,2024-06-08,Headphones,Electronics,South,8,1500,12000,45444
100328,2025-01-07,Headphones,Electronics,North,1,1500,1500,45658
100329,2025-10-29,Tablet,Electronics,South,4,30000,120000,45931
100330,2023-11-16,Tablet,Electronics,North,3,30000,90000,45231
100331,2025-11-19,Table,Furniture,North,2,12000,24000,45962
100332,2025-09-15,Laptop,Electronics,South,8,55000,440000,45901
100333,2024-04-16,Headphones,Electronics,West,3,1500,4500,45383
100334,2024-06-05,Printer,Electronics,East,1,18000,18000,45444
100335,2025-07-04,Bed,Furniture,East,4,35000,140000,45839
100336,2024-08-16,Mobile,Electronics,South,4,20000,80000,45505
100337,2025-06-09,Bed,Furniture,South,1,35000,35000,45809
100338,2025-11-27,Headphones,Electronics,South,3,1500,4500,45962
100339,2025-10-16,Printer,Electronics,South,3,18000,54000,45931
100340,2025-03-19,Monitor,Electronics,North,4,22000,88000,45717
100341,2025-08-21,Sofa,Furniture,North,4,40000,160000,45870
100342,2023-02-16,Laptop,Electronics,West,2,55000,110000,44958
100343,2023-08-14,Monitor,Electronics,East,7,22000,154000,45139
100344,2025-11-13,Mobile,Electronics,East,3,20000,60000,45962
100345,2024-01-14,Mobile,Electronics,East,1,20000,20000,45292
100346,2024-07-26,Mobile,Electronics,West,4,20000,80000,45474
100347,2025-05-19,Sofa,Furniture,East,3,40000,120000,45778
100348,2024-05-30,Tablet,Electronics,North,8,30000,240000,45413
100349,2023-01-02,Tablet,Electronics,West,3,30000,90000,44927
100350,2025-12-30,Headphones,Electronics,North,7,1500,10500,45992
100351,2024-02-15,Mobile,Electronics,North,4,20000,80000,45323
100352,2024-10-26,Monitor,Electronics,East,2,22000,44000,45566
100353,2025-03-08,Sofa,Furniture,South,4,40000,160000,45717
100354,2025-03-15,Monitor,Electronics,East,4,22000,88000,45717
100355,2024-05-01,Printer,Electronics,East,2,18000,36000,45413
100356,2023-12-19,Tablet,Electronics,North,3,30000,90000,45261
100357,2025-11-07,Headphones,Electronics,South,8,1500,12000,45962
100358,2025-04-03,Tablet,Electronics,North,5,30000,150000,45748
100359,2023-08-08,Tablet,Electronics,North,2,30000,60000,45139
100360,2023-09-26,Bed,Furniture,East,2,35000,70000,45170
100361,2023-01-29,Monitor,Electronics,West,4,22000,88000,44927
100362,2025-03-26,Monitor,Electronics,West,3,22000,66000,45717
100363,2023-11-29,Table,Furniture,East,1,12000,12000,45231
100364,2024-06-17,Office Chair,Furniture,South,2,8000,16000,45444
100365,2023-03-30,Laptop,Electronics,North,6,55000,330000,44986
100366,2023-06-28,Table,Furniture,East,1,12000,12000,45078
100367,2023-12-13,Headphones,Electronics,South,5,1500,7500,45261
100368,2025-03-04,Laptop,Electronics,South,2,55000,110000,45717
100369,2024-11-28,Table,Furniture,West,4,12000,48000,45597
100370,2023-06-01,Office Chair,Furniture,East,3,8000,24000,45078
100371,2024-07-14,Bed,Furniture,North,2,35000,70000,45474
100372,2023-07-15,Bed,Furniture,North,2,35000,70000,45108
100373,2025-02-15,Office Chair,Furniture,West,8,8000,64000,45689
100374,2024-08-02,Sofa,Furniture,East,6,40000,240000,45505
100375,2023-10-31,Office Chair,Furniture,South,8,8000,64000,45200
100376,2023-03-29,Headphones,Electronics,North,7,1500,10500,44986
100377,2025-12-05,Table,Furniture,South,5,12000,60000,45992
100378,2023-06-01,Mobile,Electronics,East,2,20000,40000,45078
100379,2024-02-08,Mobile,Electronics,East,7,20000,140000,45323
100380,2025-05-29,Headphones,Electronics,South,8,1500,12000,45778
100381,2025-01-09,Printer,Electronics,West,2,18000,36000,45658
100382,2025-07-27,Table,Furniture,South,4,12000,48000,45839
100383,2025-10-13,Laptop,Electronics,North,8,55000,440000,45931
100384,2024-10-24,Tablet,Electronics,South,7,30000,210000,45566
100385,2024-06-01,Mobile,Electronics,North,1,20000,20000,45444
100386,2023-08-06,Headphones,Electronics,West,3,1500,4500,45139
100387,2023-10-20,Monitor,Electronics,North,3,22000,66000,45200
100388,2024-12-07,Table,Furniture,South,7,12000,84000,45627
100389,2023-02-20,Table,Furniture,East,4,12000,48000,44958
100390,2025-04-26,Tablet,Electronics,North,8,30000,240000,45748
100391,2025-03-26,Monitor,Electronics,South,1,22000,22000,45717
100392,2023-01-30,Printer,Electronics,East,3,18000,54000,44927
100393,2024-06-17,Monitor,Electronics,East,4,22000,88000,45444
100394,2025-06-17,Laptop,Electronics,South,4,55000,220000,45809
100395,2024-06-16,Tablet,Electronics,North,5,30000,150000,45444
100396,2024-04-04,Tablet,Electronics,North,1,30000,30000,45383
100397,2025-12-25,Office Chair,Furniture,South,5,8000,40000,45992
100398,2023-02-02,Headphones,Electronics,North,8,1500,12000,44958
100399,2023-11-17,Printer,Electronics,North,2,18000,36000,45231
100400,2025-09-11,Monitor,Electronics,North,3,22000,66000,45901
100401,2025-08-31,Mobile,Electronics,East,8,20000,160000,45870
100402,2023-07-13,Tablet,Electronics,East,7,30000,210000,45108
100403,2023-01-10,Printer,Electronics,West,4,18000,72000,44927
100404,2025-07-30,Headphones,Electronics,North,2,1500,3000,45839
100405,2025-05-02,Mobile,Electronics,West,3,20000,60000,45778
100406,2023-10-07,Monitor,Electronics,East,3,22000,66000,45200
100407,2023-09-27,Bed,Furniture,South,1,35000,35000,45170
100408,2024-12-23,Monitor,Electronics,West,7,22000,154000,45627
100409,2024-07-16,Sofa,Furniture,East,1,40000,40000,45474
100410,2023-04-07,Office Chair,Furniture,West,1,8000,8000,45017
100411,2024-06-21,Printer,Electronics,East,6,18000,108000,45444
100412,2025-08-27,Office Chair,Furniture,West,5,8000,40000,45870
100413,2024-12-28,Tablet,Electronics,West,2,30000,60000,45627
100414,2025-12-15,Table,Furniture,South,1,12000,12000,45992
100415,2023-12-19,Mobile,Electronics,South,4,20000,80000,45261
100416,2024-01-11,Monitor,Electronics,East,5,22000,110000,45292
100417,2024-07-19,Headphones,Electronics,West,3,1500,4500,45474
100418,2023-05-17,Tablet,Electronics,South,5,30000,150000,45047
100419,2024-02-18,Laptop,Electronics,North,4,55000,220000,45323
100420,2025-03-01,Headphones,Electronics,North,2,1500,3000,45717
100421,2025-01-05,Printer,Electronics,West,7,18000,126000,45658
100422,2025-09-21,Sofa,Furniture,North,4,40000,160000,45901
100423,2023-06-02,Office Chair,Furniture,South,7,8000,56000,45078
100424,2023-03-15,Bed,Furniture,West,5,35000,175000,44986
100425,2024-10-17,Table,Furniture,North,3,12000,36000,45566
